Posición,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Asistencia,Portero,Temporada,Goles Metidos,Maximo Goleador 1,Maximo Goleador 2,Maximo Goleador 1_Numero,DG_ESPERADO,xG_ESPERADO,GF_ESPERADO
1,Manchester City,38,28,7,3,96,34,62,91,2.39,80.5,35.6,44.9,1.18,,Ederson,2023-2024,27,Erling Haaland,,1,64.33751254,87.7937878,96.70246067
2,Arsenal,38,28,5,5,91,29,62,89,2.34,76.1,27.9,48.2,1.27,,David Raya,2023-2024,16,Bukayo Saka,,2,36.7656964,60.32610229,73.2770236
3,Liverpool,38,24,10,4,86,41,45,82,2.16,87.8,45.7,42,1.11,,Alisson,2023-2024,18,Mohamed Salah,,3,44.60442758,75.6658349,81.70872089
4,Aston Villa,38,20,8,10,76,61,15,68,1.79,63.3,59.9,3.4,0.09,,Emiliano Martínez,2023-2024,19,Ollie Watkins,,4,-9.963308157,40.95728136,40.98933811
5,Tottenham,38,20,6,12,74,61,13,66,1.74,68.2,63.4,4.8,0.13,,Guglielmo Vicario,2023-2024,17,Son Heung-min,,5,24.16244202,60.66975904,70.51147425
6,Chelsea,38,18,9,11,77,63,14,63,1.66,74.5,58.1,16.4,0.43,,Đorđe Petrović,2023-2024,22,Cole Palmer,,6,14.99167558,62.53106654,62.33693132
7,Newcastle Utd,38,18,6,14,85,62,23,60,1.58,76,61.4,14.6,0.38,,Martin Dúbravka,2023-2024,21,Alexander Isak,,7,-10.82339864,44.47588408,48.3755536
8,Manchester Utd,38,18,6,14,57,58,-1,60,1.58,56.5,68.9,-12.5,-0.33,,André Onana,2023-2024,10,Rasmus Højlund,Bruno Fernandes,8,16.17009988,60.5408046,62.83334674
9,West Ham,38,14,10,14,60,74,-14,52,1.37,52.3,71.1,-18.8,-0.49,,Alphonse Areola,2023-2024,16,Jarrod Bowen,,9,-23.53711216,44.34915536,46.49594448
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.6,52,-3.4,-0.09,,Sam Johnstone,2023-2024,16,Jean-Philippe Mateta,,10,1.280288939,43.03381038,49.19179694
11,Brighton,38,12,12,14,55,62,-7,48,1.26,56.8,55.4,1.4,0.04,,Bart Verbruggen,2023-2024,9,João Pedro,,11,-20.83308269,39.17877681,35.25610328
12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,58.1,-2.2,-0.06,,Neto,2023-2024,19,Dominic Solanke,,12,-26.00791579,48.94246575,44.72089647
13,Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,62.9,-12.1,-0.32,,Bernd Leno,2023-2024,9,Rodrigo Muniz,,13,-30.90685989,40.1722925,31.03936788
14,Wolves,38,13,7,18,50,65,-15,46,1.21,46.7,67.7,-21,-0.55,,José Sá,2023-2024,12,Hwang Hee-chan,Matheus Cunha,14,2.101126877,48.30189496,46.37061841
15,Everton,38,13,9,16,40,51,-11,42,1.11,54,55.2,-1.2,-0.03,,Jordan Pickford,2023-2024,7,Abdoulaye Doucouré,Dominic Calvert-Lewin,15,-16.8563051,46.12609187,40.71063616
16,Brentford,38,10,9,19,56,65,-9,39,1.03,58.2,56,2.2,0.06,,Mark Flekken,2023-2024,12,Yoane Wissa,,16,-6.483001172,52.25463183,52.46030358
17,Nott'ham Forest,38,9,9,20,49,67,-18,32,0.84,49.9,53.2,-3.3,-0.09,,Matt Turner,2023-2024,14,Chris Wood,,17,-30,39.3,38
18,Luton Town,38,6,8,24,52,85,-33,26,0.68,42.4,78,-35.5,-0.94,,Thomas Kaminski,2023-2024,11,Carlton Morris,,18,-33,42.4,52
19,Burnley,38,5,9,24,41,78,-37,24,0.63,40.6,70.4,-29.7,-0.78,,James Trafford,2023-2024,6,Jacob Bruun Larsen,,19,-14.56107318,39.31964326,37.8114214
